Block-Type
'B[\'Emis_NESARE vs TypicalFarm\'.A1:E1]'-string
'B[\'Emis_NESARE vs TypicalFarm\'.A20:A32]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.A2:A15]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.A37:A51]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.A57:B61]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.A64:B68]'-quantity
'B[\'Emis_NESARE vs TypicalFarm\'.B19:D19]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.B20:D32]'-body
'B[\'Emis_NESARE vs TypicalFarm\'.B2:E15]'-body
'B[\'Emis_NESARE vs TypicalFarm\'.B36:D36]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.B37:D51]'-body
'B[\'Emis_NESARE vs TypicalFarm\'.C33:D34]'-body
'B[\'Emis_NESARE vs TypicalFarm\'.C56:E56]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.C57:E61]'-body
'B[\'Emis_NESARE vs TypicalFarm\'.C63:E63]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.C64:E68]'-body
'B[\'Emis_NESARE vs TypicalFarm\'.G1:J1]'-string
'B[\'Emis_NESARE vs TypicalFarm\'.G20:G25]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.G2:G15]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.H19:J19]'-phenomenon
'B[\'Emis_NESARE vs TypicalFarm\'.H20:J25]'-body
'B[\'Emis_NESARE vs TypicalFarm\'.H2:J15]'-body
'B[\'Urban_Step 1a\'.A13:E13]'-quantity
'B[\'Urban_Step 1a\'.A14:E17]'-body
'B[\'Urban_Step 1a\'.A20:E20]'-quantity
'B[\'Urban_Step 1a\'.A21:E23]'-body
'B[\'Urban_Step 1a\'.A26:E26]'-quantity
'B[\'Urban_Step 1a\'.A27:E27]'-body
'B[\'Urban_Step 1a\'.A3:A9]'-phenomenon
'B[\'Urban_Step 1a\'.B2:G2]'-quantity
'B[\'Urban_Step 1a\'.B3:G9]'-body
'B[\'Urban_Step 1a\'.I3:I9]'-body
'B[\'Urban_Step 1b\'.A11:A12]'-quantity
'B[\'Urban_Step 1b\'.A15:A17]'-quantity
'B[\'Urban_Step 1b\'.A2:A8]'-quantity
'B[\'Urban_Step 1b\'.B11:B12]'-body
'B[\'Urban_Step 1b\'.B15:B17]'-body
'B[\'Urban_Step 1b\'.B2:B8]'-body
'B[\'Urban_Step 1b\'.C11:C12]'-unit
'B[\'Urban_Step 1b\'.C15:C17]'-unit
'B[\'Urban_Step 1b\'.C2:C8]'-unit
'B[\'Urban_Step 3\'.B10:B12]'-phenomenon
'B[\'Urban_Step 3\'.B17:B22]'-phenomenon
'B[\'Urban_Step 3\'.B3:B6]'-phenomenon
'B[\'Urban_Step 3\'.C10:C12]'-body
'B[\'Urban_Step 3\'.C17:C22]'-body
'B[\'Urban_Step 3\'.C2:D2]'-phenomenon
'B[\'Urban_Step 3\'.C3:D6]'-body
'B[\'Urban_Step 3\'.D10:D12]'-phenomenon
'B[\'Urban_Step 3\'.D17:D22]'-phenomenon
'B[\'Urban_Step 3\'.E3:E6]'-phenomenon
'B[Corn_Factors.A21:A22]'-quantity
'B[Corn_Factors.A27:A33]'-string
'B[Corn_Factors.A4:A5]'-phenomenon
'B[Corn_Factors.A8:A18]'-quantity
'B[Corn_Factors.B21:B22]'-body
'B[Corn_Factors.B26:B26]'-phenomenon
'B[Corn_Factors.B27:B28]'-body
'B[Corn_Factors.B2:B2]'-phenomenon
'B[Corn_Factors.B31:C33]'-body
'B[Corn_Factors.B4:B5]'-body
'B[Corn_Factors.B8:B18]'-body
'B[Corn_Factors.C21:C22]'-unit
'B[Corn_Factors.C4:C5]'-phenomenon
'B[Corn_Factors.C8:C18]'-unit
'B[Corn_Factors.D27:D33]'-string
'B[Corn_Model.A102:A124]'-phenomenon
'B[Corn_Model.A128:A141]'-phenomenon
'B[Corn_Model.A146:A157]'-string
'B[Corn_Model.A20:B31]'-string
'B[Corn_Model.A32:A37]'-string
'B[Corn_Model.A3:A15]'-quantity
'B[Corn_Model.A42:A49]'-phenomenon
'B[Corn_Model.A42:A49]'-quantity
'B[Corn_Model.A52:F52]'-string
'B[Corn_Model.A53:A56]'-quantity
'B[Corn_Model.A61:A63]'-quantity
'B[Corn_Model.A67:A70]'-quantity
'B[Corn_Model.A74:A78]'-quantity
'B[Corn_Model.A82:A86]'-quantity
'B[Corn_Model.A90:A92]'-phenomenon
'B[Corn_Model.A96:A97]'-quantity
'B[Corn_Model.B101:E101]'-phenomenon
'B[Corn_Model.B102:E124]'-body
'B[Corn_Model.B127:E127]'-phenomenon
'B[Corn_Model.B128:E141]'-body
'B[Corn_Model.B3:B15]'-unit
'B[Corn_Model.B42:B49]'-unit
'B[Corn_Model.B53:B56]'-unit
'B[Corn_Model.B61:B63]'-unit
'B[Corn_Model.B67:B70]'-unit
'B[Corn_Model.B74:B78]'-unit
'B[Corn_Model.B82:B86]'-unit
'B[Corn_Model.B96:B97]'-unit
'B[Corn_Model.C145:C145]'-phenomenon
'B[Corn_Model.C146:C151]'-body
'B[Corn_Model.C155:E157]'-body
'B[Corn_Model.C19:K19]'-phenomenon
'B[Corn_Model.C20:K32]'-body
'B[Corn_Model.C2:F2]'-phenomenon
'B[Corn_Model.C33:K37]'-body
'B[Corn_Model.C3:F15]'-body
'B[Corn_Model.C41:N41]'-phenomenon
'B[Corn_Model.C42:N49]'-body
'B[Corn_Model.C53:F56]'-body
'B[Corn_Model.C61:F63]'-body
'B[Corn_Model.C67:F70]'-body
'B[Corn_Model.C73:D73]'-phenomenon
'B[Corn_Model.C74:D78]'-body
'B[Corn_Model.C81:C81]'-phenomenon
'B[Corn_Model.C82:C86]'-body
'B[Corn_Model.C90:C92]'-body
'B[Corn_Model.C95:E95]'-phenomenon
'B[Corn_Model.C96:E97]'-body
'B[Corn_Model.H10:I13]'-body
'B[Corn_Model.H3:I15]'-phenomenon
'B[Corn_Model.H52:J52]'-string
'B[Corn_Model.H53:H56]'-phenomenon
'B[Corn_Model.I53:J56]'-body
'B[Corn_Model.M19:N19]'-string
'B[Corn_Model.M20:N25]'-body
'B[Corn_Model.M20:N31]'-quantity
'B[Corn_Model.M20:N32]'-context
'B[Corn_Model.M20:N32]'-phenomenon
'B[Corn_Model.M29:N29]'-body
'B[Corn_Model.M32:N32]'-unit
'B[Corn_Model.M33:N33]'-body
'B[Corn_Model.M33:N35]'-quantity
'B[Corn_Model.M36:N36]'-unit
'B[Corn_Model.M37:N37]'-context
'B[Corn_Model.M37:N37]'-phenomenon
'B[Corn_Model.P20:P34]'-context
'B[Corn_Model.P20:P34]'-phenomenon
'B[Corn_Model.P35:P37]'-string
'B[Corn_Model.P42:P49]'-context
'B[Corn_Model.P42:P49]'-phenomenon
'B[Corn_Model.P54:P56]'-unit
'B[Corn_Model.Q19:V19]'-unit
'B[Corn_Model.Q20:V34]'-body
'B[Corn_Model.Q35:Q37]'-body
'B[Corn_Model.Q41:R41]'-quantity
'B[Corn_Model.Q42:R44]'-body
'B[Corn_Model.Q47:Q49]'-body
'B[Corn_Model.Q53:V53]'-unit
'B[Corn_Model.Q54:V56]'-body
'B[Corn_Model.R35:R37]'-unit
'B[Corn_Model.R47:R49]'-phenomenon
'B[Corn_Model.U44:V44]'-phenomenon
'B[Corn_Model.U45:V49]'-body
'B[Corn_Model.W20:W34]'-phenomenon
'B[Corn_Model.W45:W49]'-phenomenon
'B[Emis_Manure&ImportedFeeds.A22:A38]'-quantity
'B[Emis_Manure&ImportedFeeds.A43:A46]'-quantity
'B[Emis_Manure&ImportedFeeds.A4:A19]'-quantity
'B[Emis_Manure&ImportedFeeds.A51:A53]'-quantity
'B[Emis_Manure&ImportedFeeds.B21:F21]'-phenomenon
'B[Emis_Manure&ImportedFeeds.B22:F38]'-body
'B[Emis_Manure&ImportedFeeds.B3:D3]'-phenomenon
'B[Emis_Manure&ImportedFeeds.B42:E42]'-phenomenon
'B[Emis_Manure&ImportedFeeds.B43:E46]'-body
'B[Emis_Manure&ImportedFeeds.B4:D19]'-body
'B[Emis_Manure&ImportedFeeds.B50:E50]'-phenomenon
'B[Emis_Manure&ImportedFeeds.B51:E53]'-body
'B[Emis_Manure&ImportedFeeds.H3:H6]'-string
'B[Emis_Manure&ImportedFeeds.H40:H42]'-quantity
'B[Emis_Manure&ImportedFeeds.H48:H58]'-context
'B[Emis_Manure&ImportedFeeds.H48:H58]'-phenomenon
'B[Emis_Manure&ImportedFeeds.H48:H58]'-quantity
'B[Emis_Manure&ImportedFeeds.H61:H67]'-phenomenon
'B[Emis_Manure&ImportedFeeds.H61:H67]'-quantity
'B[Emis_Manure&ImportedFeeds.H8:H17]'-string
'B[Emis_Manure&ImportedFeeds.I3:I6]'-body
'B[Emis_Manure&ImportedFeeds.I40:I42]'-body
'B[Emis_Manure&ImportedFeeds.I47:O47]'-phenomenon
'B[Emis_Manure&ImportedFeeds.I48:O58]'-body
'B[Emis_Manure&ImportedFeeds.I60:O60]'-phenomenon
'B[Emis_Manure&ImportedFeeds.I61:O67]'-body
'B[Emis_Manure&ImportedFeeds.I7:K7]'-unit
'B[Emis_Manure&ImportedFeeds.I8:K17]'-body
'B[Emis_Manure&ImportedFeeds.J12:K17]'-body
'B[Emis_Manure&ImportedFeeds.K43:K44]'-quantity
'B[Emis_Manure&ImportedFeeds.L42:M42]'-string
'B[Emis_Manure&ImportedFeeds.L43:M44]'-body
'B[Emis_Manure&ImportedFeeds.N43:N44]'-phenomenon
'B[Emis_Manure&ImportedFeeds.O42:P42]'-context
'B[Emis_Manure&ImportedFeeds.O42:P42]'-phenomenon
'B[Emis_Manure&ImportedFeeds.O43:P44]'-body
'B[Emis_NESARESVO_Farm2011.A5:A58]'-quantity
'B[Emis_NESARESVO_Farm2011.B1:U4]'-phenomenon
'B[Emis_NESARESVO_Farm2011.B3:U4]'-context
'B[Emis_NESARESVO_Farm2011.B3:U4]'-phenomenon
'B[Emis_NESARESVO_Farm2011.B5:U58]'-body
'B[Emis_NESARESVO_Farm2011.W2:W4]'-string
'B[Emis_NESARESVO_Farm2011.W5:W58]'-context
'B[Emis_NESARESVO_Farm2011.X2:X4]'-body
'B[Emis_NESARESVO_Farm2011.Y2:Y4]'-unit
'B[Emis_SVO_Operations.A104:B105]'-phenomenon
'B[Emis_SVO_Operations.A110:B110]'-string
'B[Emis_SVO_Operations.A123:B124]'-context
'B[Emis_SVO_Operations.A123:B124]'-phenomenon
'B[Emis_SVO_Operations.A17:A18]'-string
'B[Emis_SVO_Operations.A24:A25]'-string
'B[Emis_SVO_Operations.A2:A15]'-phenomenon
'B[Emis_SVO_Operations.A2:B15]'-context
'B[Emis_SVO_Operations.A2:B15]'-phenomenon
'B[Emis_SVO_Operations.A31:B43]'-phenomenon
